,label_column,label_value,count_samples_in_group,percentage_above_min_value,group
7104,FA,4001398,2,100.0,HIGH
7105,FA,4002024,1,100.0,HIGH
7106,FA,4000485,1,100.0,HIGH
7107,FA,4001321,6,100.0,HIGH
7091,FA,4002244,1,100.0,HIGH
7089,FA,4002919,1,100.0,HIGH
7071,FA,4002441,3,100.0,HIGH
7079,FA,4002190,3,100.0,HIGH
7072,FA,4001342,1,100.0,HIGH
7073,FA,4003110,6,100.0,HIGH
7074,FA,4001683,1,100.0,HIGH
7075,FA,4002429,1,100.0,HIGH
7076,FA,4002261,1,100.0,HIGH
7077,FA,4002632,16,100.0,HIGH
7078,FA,4003925,12,100.0,HIGH
7080,FA,4001357,1,100.0,HIGH
7088,FA,4001411,4,100.0,HIGH
7081,FA,4001348,1,100.0,HIGH
7082,FA,4002010,1,100.0,HIGH
7083,FA,4001674,1,100.0,HIGH
7084,FA,4001176,1,100.0,HIGH
7085,FA,4003217,4,100.0,HIGH
7086,FA,4002890,1,100.0,HIGH
7087,FA,4003381,18,100.0,HIGH
7030,FA,4007682,1,100.0,HIGH
7028,FA,4003443,1,100.0,HIGH
6949,FA,4001935,10,100.0,HIGH
7027,FA,4003712,4,100.0,HIGH
6970,FA,4000908,20,100.0,HIGH
6971,FA,4003960,2,100.0,HIGH
6972,FA,4002905,3,100.0,HIGH
6973,FA,4003547,1,100.0,HIGH
6974,FA,4000958,15,100.0,HIGH
6975,FA,4003940,11,100.0,HIGH
6976,FA,4001767,15,100.0,HIGH
6977,FA,4001938,5,100.0,HIGH
6978,FA,4000502,1,100.0,HIGH
6979,FA,4003219,11,100.0,HIGH
6980,FA,4001185,6,100.0,HIGH
6981,FA,4002575,6,100.0,HIGH
6982,FA,4001655,6,100.0,HIGH
6983,FA,4004029,2,100.0,HIGH
6984,FA,4002020,3,100.0,HIGH
6985,FA,4001967,3,100.0,HIGH
6986,FA,4002703,4,100.0,HIGH
6969,FA,4002408,1,100.0,HIGH
6968,FA,4003560,4,100.0,HIGH
6967,FA,4003724,11,100.0,HIGH
6957,FA,4000795,5,100.0,HIGH
6950,FA,4002722,1,100.0,HIGH
6951,FA,4003671,4,100.0,HIGH
6952,FA,4003621,4,100.0,HIGH
6953,FA,4001228,5,100.0,HIGH
6954,FA,4003256,3,100.0,HIGH
6955,FA,4003728,2,100.0,HIGH
6956,FA,4001845,6,100.0,HIGH
6958,FA,4001262,4,100.0,HIGH
6966,FA,4003916,2,100.0,HIGH
6959,FA,4001310,4,100.0,HIGH
6960,FA,4003776,1,100.0,HIGH
6961,FA,4003753,1,100.0,HIGH
6962,FA,4001215,2,100.0,HIGH
6963,FA,4001358,1,100.0,HIGH
6964,FA,4003909,1,100.0,HIGH
6965,FA,4003672,7,100.0,HIGH
6987,FA,4000698,4,100.0,HIGH
6988,FA,4001841,5,100.0,HIGH
6989,FA,4000632,1,100.0,HIGH
7018,FA,4002219,3,100.0,HIGH
7011,FA,4001844,2,100.0,HIGH
7012,FA,4000885,14,100.0,HIGH
7013,FA,4001404,4,100.0,HIGH
7014,FA,4001802,1,100.0,HIGH
7015,FA,4003827,1,100.0,HIGH
7016,FA,4000538,2,100.0,HIGH
7017,FA,4001055,7,100.0,HIGH
7019,FA,4000567,8,100.0,HIGH
7009,FA,4001053,1,100.0,HIGH
7020,FA,4003687,4,100.0,HIGH
7021,FA,4000484,4,100.0,HIGH
7022,FA,4003732,3,100.0,HIGH
7023,FA,4000542,2,100.0,HIGH
7024,FA,4003950,4,100.0,HIGH
7025,FA,4003981,4,100.0,HIGH
7026,FA,4001933,2,100.0,HIGH
7010,FA,4000969,5,100.0,HIGH
7008,FA,4000536,1,100.0,HIGH
6990,FA,4001243,1,100.0,HIGH
6998,FA,4000661,9,100.0,HIGH
6991,FA,4000596,2,100.0,HIGH
6992,FA,4001374,5,100.0,HIGH
6993,FA,4001439,10,100.0,HIGH
6994,FA,4003725,2,100.0,HIGH
6995,FA,4003716,1,100.0,HIGH
6996,FA,4000919,32,100.0,HIGH
6997,FA,4001198,2,100.0,HIGH
6999,FA,4000673,3,100.0,HIGH
7007,FA,4001285,1,100.0,HIGH
7000,FA,4002208,7,100.0,HIGH
7001,FA,4002914,4,100.0,HIGH
7002,FA,4001995,5,100.0,HIGH
7003,FA,4001553,2,100.0,HIGH
7004,FA,4001695,3,100.0,HIGH
7005,FA,4002780,13,100.0,HIGH
7006,FA,4003147,9,100.0,HIGH
6787,FA,4000856,10,100.0,HIGH
6786,FA,4001329,1,100.0,HIGH
6785,FA,4000832,6,100.0,HIGH
6544,FA,4002306,2,100.0,HIGH
6566,FA,4007680,1,100.0,HIGH
6567,FA,4001119,3,100.0,HIGH
6568,FA,4002515,2,100.0,HIGH
6569,FA,4007677,4,100.0,HIGH
6570,FA,4004334,1,100.0,HIGH
6571,FA,4004335,1,100.0,HIGH
6572,FA,4000709,4,100.0,HIGH
6573,FA,4003427,9,100.0,HIGH
6574,FA,4004337,2,100.0,HIGH
6575,FA,4004338,1,100.0,HIGH
6576,FA,4000710,3,100.0,HIGH
6577,FA,4000707,3,100.0,HIGH
6578,FA,4004340,1,100.0,HIGH
6579,FA,4002365,5,100.0,HIGH
6580,FA,4004342,6,100.0,HIGH
6581,FA,4001091,5,100.0,HIGH
6582,FA,4004012,4,100.0,HIGH
6565,FA,4000706,1,100.0,HIGH
6564,FA,4002930,1,100.0,HIGH
6563,FA,4000704,9,100.0,HIGH
6553,FA,4003507,3,100.0,HIGH
6546,FA,4003451,4,100.0,HIGH
6547,FA,4000697,1,100.0,HIGH
6548,FA,4004325,2,100.0,HIGH
6549,FA,4004326,1,100.0,HIGH
6550,FA,4000769,3,100.0,HIGH
6551,FA,4004329,1,100.0,HIGH
6552,FA,4004330,1,100.0,HIGH
6554,FA,4002802,3,100.0,HIGH
6562,FA,4004333,4,100.0,HIGH
6555,FA,4004331,1,100.0,HIGH
6556,FA,4004332,3,100.0,HIGH
6557,FA,4002178,8,100.0,HIGH
6558,FA,4000831,1,100.0,HIGH
6559,FA,4007712,4,100.0,HIGH
6560,FA,4002047,30,100.0,HIGH
6561,FA,4000740,5,100.0,HIGH
6583,FA,4000435,5,100.0,HIGH
6584,FA,4007675,1,100.0,HIGH
6585,FA,4003553,1,100.0,HIGH
6614,FA,4004714,1,100.0,HIGH
6607,FA,4004308,1,100.0,HIGH
6608,FA,4004307,2,100.0,HIGH
6609,FA,4003870,3,100.0,HIGH
6610,FA,4004309,2,100.0,HIGH
6611,FA,4004359,2,100.0,HIGH
6612,FA,4004345,1,100.0,HIGH
6613,FA,4002041,4,100.0,HIGH
6615,FA,4003714,3,100.0,HIGH
6605,FA,4003262,1,100.0,HIGH
6616,FA,4004360,1,100.0,HIGH
6617,FA,4004310,1,100.0,HIGH
6618,FA,4003622,25,100.0,HIGH
6619,FA,4004358,2,100.0,HIGH
6620,FA,4000717,10,100.0,HIGH
6621,FA,4004361,1,100.0,HIGH
6622,FA,4004314,1,100.0,HIGH
6606,FA,4006166,3,100.0,HIGH
6604,FA,4003984,3,100.0,HIGH
6586,FA,4007676,1,100.0,HIGH
6594,FA,4001822,2,100.0,HIGH
6587,FA,4003588,2,100.0,HIGH
6588,FA,4001813,4,100.0,HIGH
6589,FA,4004343,1,100.0,HIGH
6590,FA,4004344,2,100.0,HIGH
6591,FA,4001104,4,100.0,HIGH
6592,FA,4004347,2,100.0,HIGH
6593,FA,4007678,1,100.0,HIGH
6595,FA,4004350,1,100.0,HIGH
6603,FA,4006690,2,100.0,HIGH
6596,FA,4004306,2,100.0,HIGH
6597,FA,4003737,4,100.0,HIGH
6598,FA,4005084,2,100.0,HIGH
6599,FA,4000714,2,100.0,HIGH
